puid,x_coord_epsg4326,y_coord_epsg4326,species
352,123.9175441,-5.725114804,rabbitfish
353,123.794046,-5.835708432,rabbitfish
354,123.7435086,-5.779483665,rabbitfish
355,123.6917176,-5.792974991,rabbitfish
356,123.704271,-5.726863612,rabbitfish
357,123.6467334,-5.743775101,rabbitfish
358,123.6619198,-5.690534365,rabbitfish
359,123.6174661,-5.688027879,rabbitfish
360,123.6113283,-5.631305683,rabbitfish
361,123.4951337,-5.562491429,rabbitfish
362,123.4606106,-5.566232502,rabbitfish
363,123.4592759,-5.526694795,rabbitfish
364,123.4149509,-5.548887556,rabbitfish
365,123.3865309,-5.486487917,rabbitfish
366,123.8650087,-5.554225054,rabbitfish
367,123.79255,-5.501393458,rabbitfish
368,123.8024707,-5.585925675,rabbitfish
369,123.6249092,-5.296023686,rabbitfish
370,123.541401,-5.281839869,rabbitfish
371,123.6236108,-5.377118975,rabbitfish
372,124.2012075,-5.73833068,rabbitfish
373,124.1822028,-5.763997582,rabbitfish
374,124.3783598,-6.047833687,rabbitfish
375,124.355595,-6.095583431,rabbitfish
376,121.7731076,-5.360681627,rabbitfish
377,121.7735305,-5.403849537,rabbitfish
378,121.7423125,-5.399003135,rabbitfish
379,121.7764164,-5.266226063,rabbitfish
380,121.797877,-5.206620374,rabbitfish
381,121.8359707,-5.135389698,rabbitfish
382,121.9173814,-5.079092637,rabbitfish
383,121.9911213,-5.11583776,rabbitfish
384,122.0570926,-5.214459509,rabbitfish
385,122.2812353,-5.212026811,rabbitfish
386,122.26108,-5.311196361,rabbitfish
387,122.3174021,-5.389773859,rabbitfish
388,120.6787842,-5.055208161,rabbitfish
389,120.5556138,-5.062602016,rabbitfish
390,120.4711284,-5.018542925,rabbitfish
391,120.3196386,-5.1526585,rabbitfish
392,121.7619792,-4.856939374,rabbitfish
393,123.0339711,-5.422808274,rabbitfish
394,122.5552866,-5.660898178,rabbitfish
395,122.5108434,-5.700231182,rabbitfish
396,122.4636919,-5.680666616,rabbitfish
397,122.6578795,-5.687802096,rabbitfish
398,122.7163899,-5.68271413,rabbitfish
399,122.8071557,-5.680814149,rabbitfish
400,122.5684396,-5.426829436,rabbitfish
401,122.5133668,-5.394025179,rabbitfish
402,122.5097856,-5.305159621,rabbitfish
403,122.4765206,-5.388981317,rabbitfish
404,123.0694755,-5.164659917,rabbitfish
405,123.1488283,-5.38569964,rabbitfish
406,123.1909083,-4.015460245,rabbitfish
407,123.2201623,-4.162955909,rabbitfish
408,123.0564382,-4.236148531,rabbitfish
409,122.9468721,-4.081956403,rabbitfish
410,122.9807287,-4.005614793,rabbitfish
411,122.8983924,-4.329706614,rabbitfish
412,122.7350429,-4.376545207,rabbitfish
413,122.7838579,-4.416564237,rabbitfish
414,122.8320094,-4.441389691,rabbitfish
415,122.8967451,-4.386557374,rabbitfish
416,122.7032826,-4.392591212,rabbitfish
417,122.743593,-4.422912369,rabbitfish
418,122.6934918,-4.487540183,rabbitfish
419,122.7628593,-4.460236727,rabbitfish
420,122.67735,-4.508401882,rabbitfish
421,122.6499514,-4.46070554,rabbitfish
422,122.6612205,-4.562724804,rabbitfish
423,122.7459012,-4.530993159,rabbitfish
424,122.750898,-4.560017356,rabbitfish
425,122.7378024,-4.587157658,rabbitfish
426,122.7089964,-4.584069971,rabbitfish
427,122.6868208,-4.570967354,rabbitfish
428,122.6995099,-4.525981004,rabbitfish
429,122.6045804,-4.413733835,rabbitfish
430,122.4491018,-4.448747505,rabbitfish
431,122.7441309,-4.679601701,rabbitfish
432,122.7537485,-4.761581363,rabbitfish
433,122.7508463,-4.971365892,rabbitfish
434,122.7689585,-4.925686141,rabbitfish
435,122.7641093,-5.043097214,rabbitfish
436,123.1807598,-4.842366891,rabbitfish
437,123.2132614,-4.816296343,rabbitfish
438,123.2016166,-4.649885094,rabbitfish
439,123.1081806,-4.83915122,rabbitfish
440,123.0332925,-4.838539953,rabbitfish
441,122.7661127,-4.140049169,rabbitfish
442,122.6892718,-4.134205427,rabbitfish
443,122.6666607,-4.065230885,rabbitfish
444,122.3489646,-3.71524594,rabbitfish
445,122.3102838,-3.529458317,rabbitfish
446,122.2800748,-3.427669911,rabbitfish
447,122.3895537,-3.419688804,rabbitfish
448,122.3600702,-3.442159688,rabbitfish
449,122.4866365,-3.482678618,rabbitfish
450,122.3927128,-3.312742887,rabbitfish
451,122.3754841,-3.252721518,rabbitfish
452,122.4278954,-3.279336602,rabbitfish
453,122.4590532,-3.222966084,rabbitfish
454,122.4953874,-3.174957703,rabbitfish
455,122.46133,-3.200396252,rabbitfish
456,122.4657587,-3.143728254,rabbitfish
457,122.6212413,-3.121916112,rabbitfish
458,122.3542741,-3.011721658,rabbitfish
459,122.4641592,-3.061133662,rabbitfish
460,122.5171105,-3.078286178,rabbitfish
461,122.5710501,-3.116502231,rabbitfish
462,122.6015834,-3.367399312,rabbitfish
463,122.9592274,-3.457981744,rabbitfish
464,122.1262162,-4.815514876,rabbitfish
465,121.9328303,-4.899130349,rabbitfish
466,121.5615334,-4.781944594,rabbitfish
467,121.8510988,-4.866106393,rabbitfish
468,122.0591582,-5.313937089,rabbitfish
469,121.8562865,-5.076234384,rabbitfish
470,121.7821588,-5.310302231,rabbitfish
471,121.8048713,-5.299404156,rabbitfish
472,122.080765,-5.485521407,rabbitfish
